year,month,on_time,delayed_flights,flights
2015,10,0.8764226137216788,60079,486165
2015,11,0.8491979203839555,70571,467971
2015,12,0.7980677336560733,96772,479230
2016,1,0.841010077900172,70882,445827
2016,2,0.8544902085215705,61680,423889
2016,3,0.8276660224326998,82569,479122
2016,4,0.8557134501657171,66607,461630
2016,5,0.8425018462193183,75498,479358
2016,6,0.7941891201857119,100361,487637
2016,7,0.7739090111193595,113601,502457
2016,8,0.7924719121415399,103421,498347
2016,9,0.8599926133715562,63686,454876
2016,10,0.8657077689335754,63470,472626
2016,11,0.8694476846040919,58871,450938
2016,12,0.775260983885384,103593,460948
2017,1,0.7828993126926316,97699,450017
2017,2,0.843455934833393,64264,410517
2017,3,0.8185866880066803,88638,488597
2017,4,0.8032515603347219,92143,468329
2017,5,0.8012670561295177,96680,486482
2017,6,0.7759930887416897,110719,494266
2017,7,0.7837605830239456,110081,509070
2017,8,0.7948696348914979,104709,510451
2017,9,0.8715695528674168,58914,458723
2017,10,0.856132606357702,69027,479796
2017,11,0.8870491146331045,51298,454162
2017,12,0.8162406695317801,85302,464205
2018,1,0.8349313351234189,81639,494576
2018,2,0.8212147584854268,71284,398713
2018,3,0.8384775526889152,76655,474578
2018,4,0.823686178714095,91232,517441
2018,5,0.8031659516707443,93967,477392
2018,6,0.7825911453456678,104488,480606
2018,7,0.7748056675884041,112955,501589
2018,8,0.7752145802276995,130133,578921
2018,9,0.8378793647108232,94962,585749
2018,10,0.8349994562579837,101657,616101
2018,11,0.8093121884478776,111777,586178
2018,12,0.816984989273241,108682,593842
2019,1,0.8198191718894483,105222,583980
2019,2,0.7759136792116645,119477,533174
2019,3,0.8318593451378957,106277,632072
2019,4,0.8226896701594548,108518,612023
2019,5,0.8015635066547243,126283,636390
2019,6,0.7591327661298809,153358,636691
2019,7,0.7941972204561559,135630,659029
2019,8,0.7975916569090652,133278,658461
2019,9,0.8620942309882026,83568,605979
2019,10,0.8348369689975378,105046,636014
2019,11,0.8578295734273047,85651,602453
2019,12,0.7971356567901905,126945,625763
2020,1,0.8645170956917474,82285,607346
2020,2,0.8526536483093201,84616,574266
2020,3,0.9171270292076313,53720,648221
2020,4,0.9710017518304382,9038,311674
2020,5,0.9567876250935603,7794,180365
2020,6,0.9331825556812036,14949,223729
2020,7,0.9152327677083687,29913,352884
2020,8,0.9231034684137037,28968,376714
2020,9,0.9375438770113841,20195,323347
2020,10,0.9161985311241501,29507,352106
2020,11,0.9247892898016539,27404,364363
2020,12,0.8827758733509803,43532,371357
2021,1,0.9032698075411977,34961,361428
2021,2,0.8628641725770455,45593,332466
2021,3,0.8995603812129339,44643,444476
2021,4,0.8941897802444095,47682,450637
2021,5,0.867608123597501,65606,495544
2021,6,0.7664175169009236,127565,546124
2021,7,0.7546145959421046,143123,583258
2021,8,0.7800559067231374,127387,579179
2021,9,0.8636502183811914,73363,538050
2021,10,0.8236748078033096,99586,564786
2021,11,0.850841644462058,81673,547559
2021,12,0.7841035723022006,119150,551885
